#Query	#lca rank	#lca taxon	#superkingdom	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV144	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV145	species	Ammodytes personatus	Eukaryota	Metazoa	Chordata	Actinopteri	Uranoscopiformes	Ammodytidae	Ammodytes	Ammodytes personatus	best hit
ASV146	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV147	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV148	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV149	species	Canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV150	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV151	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV152	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV153	family	Hominidae	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	no identification	lca
ASV154	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV156	family	Rajidae	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	no identification	lca
ASV157	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV158	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV159	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV160	species	Bos taurus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	best hit
ASV162	species	Spirinchus lanceolatus	Eukaryota	Metazoa	Chordata	Actinopteri	Osmeriformes	Osmeridae	Spirinchus	Spirinchus lanceolatus	best hit
ASV164	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV165	family	Phocoenidae	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	no identification	lca
ASV166	species	Bos taurus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	best hit
ASV167	species	Cymatogaster aggregata	Eukaryota	Metazoa	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	Cymatogaster aggregata	best hit
ASV168	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV169	family	Sebastidae	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	no identification	lca
ASV170	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV171	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV172	species	Merluccius productus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus	best hit
ASV173	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV174	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV176	species	Cymatogaster aggregata	Eukaryota	Metazoa	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	Cymatogaster aggregata	best hit
ASV178	species	Canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV179	family	Pholidae	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	no identification	lca
ASV181	species	Hippoglossus stenolepis	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus stenolepis	best hit
ASV182	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV183	species	Spirinchus lanceolatus	Eukaryota	Metazoa	Chordata	Actinopteri	Osmeriformes	Osmeridae	Spirinchus	Spirinchus lanceolatus	best hit
ASV184	species	Oncorhynchus nerka	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka	best hit
ASV185	species	Canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV186	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV187	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV188	species	Bos taurus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus	best hit
ASV189	family	Stichaeidae	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Stichaeidae	no identification	no identification	lca
ASV190	species	Osmerus eperlanus	Eukaryota	Metazoa	Chordata	Actinopteri	Osmeriformes	Osmeridae	Osmerus	Osmerus eperlanus	best hit
ASV191	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV192	species	Oncorhynchus nerka	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka	best hit
ASV193	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
