"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV499",0.25663609208945,0.192446843121402,0.0157597998721725,0.16015034237473,0.739449405269176,0.976872358193176,0.998411770892982
"ASV500",0.279560687755197,0.185167338383959,0.0164442182681096,0.1807585723338,0.749934137524066,0.976054514799057,0.998198290906271
"ASV501",0.256788864748824,0.200949911380409,0.0161606422469304,0.156191474202697,0.739172670188993,0.977471518732772,0.998496874915928
"ASV502",0.272990854935684,0.171139356087562,0.0163899427057783,0.183466889993177,0.735742176628838,0.971830519725701,0.997666221315569
"ASV503",0.240346525597888,0.209093418511402,0.0155131859543423,0.140928126273228,0.733495207025475,0.97880278230506,0.998710862151335
"ASV504",0.247662779599533,0.204974572631206,0.015456889759697,0.147728707902373,0.740026698058763,0.979056110121736,0.99869907334539
"ASV505",0.284457698615832,0.171373705320828,0.0165427066785831,0.192107946802413,0.745135718118668,0.972934091922479,0.997742523434165
"ASV506",0.235452685350628,0.208805749635666,0.0154001121617394,0.137780332241389,0.729457516431713,0.978492121550715,0.998698993029197
"ASV507",0.217633048657002,0.21256293609352,0.0145436014278427,0.124283430758113,0.721904969537098,0.979373552701099,0.998849890611466
"ASV508",0.213319777750412,0.236779676370439,0.0149131802409941,0.111989486438887,0.721012423217684,0.981468115919926,0.999079455748532
"ASV509",0.265047063905079,0.193376149102501,0.016383109509516,0.165890584389472,0.741106822258137,0.976304621591442,0.998316608583918
"ASV510",0.269263144866102,0.182916719471748,0.0163700969951792,0.174381072731898,0.739658236259997,0.974500751972076,0.99805851674472
"ASV511",0.244963186421914,0.192953151751722,0.0156194512762343,0.151671481646183,0.729287401769965,0.975956924308922,0.998367701750788
"ASV512",0.254853123715866,0.195341227111795,0.0157858986469816,0.157470649049173,0.738828124948528,0.977177972608153,0.998459333991226
"ASV513",0.292355774706117,0.207100023307811,0.0403244232770903,0.188977994532196,0.591574512289888,0.900035665064039,0.982446002533095
"ASV514",0.234244511192068,0.191632188466209,0.0150659526684396,0.144652937577366,0.723827610861387,0.975972278228814,0.998413954085918
"ASV515",0.285813247682618,0.183113674608998,0.0165866142075619,0.186578900747639,0.752994260234462,0.975912661910693,0.998146320947581
"ASV516",0.279243909417565,0.168172984000578,0.0166880064448131,0.189982941730996,0.736427780629199,0.970832207650805,0.997484320129025
"ASV517",0.226056213438183,0.209103296773089,0.0151616614717407,0.131398934552419,0.722063936316664,0.978077837137884,0.998696580306661
"ASV518",0.254412093545374,0.182533246772019,0.0160401678336531,0.163646575970427,0.728271181932051,0.973482630513641,0.998015280748791
"ASV519",0.256324125477137,0.196465185955269,0.0156629979589731,0.157890811939528,0.74233225625891,0.977909250480392,0.998532006739222
"ASV520",0.265448721862867,0.192573859470411,0.0161183603707368,0.166477548016713,0.744097313632846,0.976922503254774,0.998380026370093
"ASV521",0.215301181311887,0.211719235598072,0.0147587900112272,0.12321202100094,0.715875913492712,0.978343393024059,0.998766917756976
"ASV522",0.243557425962574,0.199839816815722,0.0154033222440172,0.147350514873297,0.733962123014539,0.977799108667247,0.998579783701504
"ASV523",0.231803085015531,0.203424353301418,0.0151912024751819,0.137699019665393,0.72555162482616,0.977661944331532,0.998621769041979
"ASV524",0.259980570316346,0.193125490545323,0.0160647188040799,0.162295664706487,0.739594342770185,0.976545704171823,0.998364344353552
