"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV173",0.304020859036157,0.248887839142792,0.0416198181879497,0.211550854181471,0.671838685867588,0.939835841310073
"ASV176",0.316659074336292,0.245484082071281,0.041248333379884,0.222998089387617,0.684579369445699,0.942571691487839
"ASV177",0.332276586190396,0.254244552386116,0.049152412766281,0.234366326195142,0.668743658437274,0.930139554877861
"ASV182",0.29146836975133,0.257615688153554,0.0409475893327766,0.197749383221011,0.667041425007481,0.942137880116757
"ASV183",0.305940160929214,0.25584290499395,0.0408786774029461,0.209705834131241,0.681575351378056,0.945253586285239
"ASV185",0.319011008253741,0.247591204899115,0.0414270123652936,0.223974639537867,0.687264067366076,0.94360734573833
"ASV187",0.334160112516,0.256651417728633,0.0491787884952617,0.234737528583656,0.671872531415964,0.931826063787715
"ASV189",0.309835716413641,0.250549663109578,0.0413531427240613,0.215302736554985,0.680145071432311,0.942790817839633
"ASV190",0.321380102111029,0.243461038568592,0.0416104859241637,0.227859531772774,0.68625480912667,0.941902154198274
"ASV193",0.319177391801348,0.242101854096826,0.0418054210098255,0.22678434073402,0.682281355019941,0.940201309817266
"ASV194",0.314976563475874,0.243811561296113,0.0415282101814324,0.222517761717206,0.680488647144108,0.940648410741933
"ASV195",0.332776330437884,0.25822203476,0.0492446417676002,0.232889210468412,0.671098516888149,0.932035396279694
"ASV197",0.313932319105134,0.242300263281922,0.0414985075785508,0.222359872269295,0.678663692952795,0.939757378563304
"ASV198",0.332735158537399,0.231281161935943,0.0414533745426796,0.242830030491732,0.690515782305835,0.939476408977478
"ASV199",0.303778259374961,0.248679126336428,0.0407284249388181,0.211142410370471,0.676016652301188,0.942084185364273
"ASV200",0.305573691168419,0.25015797612915,0.0412441365517833,0.21207834182222,0.676101859702892,0.941819984817677
"ASV201",0.314883030216198,0.244865733161185,0.0416396099237306,0.222000715576335,0.680471938284843,0.940806623643049
"ASV202",0.314983380823754,0.245164429529878,0.0413064365892609,0.221824367227243,0.682420101955646,0.941854283258262
"ASV203",0.311311138019543,0.245667491527895,0.0410488597996342,0.218571501016346,0.680313372298621,0.941828906225073
"ASV204",0.292941103941442,0.457801715983292,0.0487567539557474,0.118635191081727,0.689185029996505,0.973352279577169
"ASV205",0.325269563676403,0.236149712454066,0.0415494707092127,0.234414269909471,0.685890440499956,0.939658895832912
"ASV206",0.31029306145312,0.250860623658091,0.0414414872387649,0.215554945731139,0.680345468354545,0.942809716320558
"ASV207",0.232688497576064,0.501915832469265,0.0413195312584449,0.0756642404656939,0.656811267509278,0.978140165605987
"ASV208",0.311508113186668,0.249976089598179,0.0414498600393494,0.216919068845889,0.681024900965243,0.942712741640473
"ASV210",0.311669852538053,0.242466587214762,0.0414321028439376,0.220445925467511,0.676801431952599,0.939419648638104
